frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,8629,11548,25167,33565,41853,51256,58327,66080,70439,79554,84151,89567,95335,100962,107268,113596,119937,126606,134355,143140
1,545,52730,5601,6787,8567,11051,11193,12458,13802,15444,15199,17021,17020,18597,18665,20529,20662,22319,22288,24665
2,50047,980,52183,48493,44354,36822,32010,29836,29127,28693,28277,28207,28265,28109,28006,30350,30518,32732,32457,35661
3,603,334,10490,17590,25768,28582,28341,27799,27856,27794,27575,27742,27655,27714,27581,30136,30035,32267,32107,35207
4,20846,40136,43187,56919,68474,83089,106411,128414,143615,181215,197760,208071,206322,203386,200653,212164,209837,205873,201863,214336
5,717,4417,9152,12969,17233,19361,21352,21309,23239,21624,21232,23550,25354,27412,29845,32181,32470,34469,37051,39994
6,4201,10152,15906,20560,26441,28534,30875,30617,33062,30492,30191,32929,35415,37916,41411,44138,44431,47243,51150,54827
7,3169,8963,14366,19340,25879,27962,30388,30266,32690,30138,30057,32544,35322,37965,40899,43893,44051,46917,50642,54162
8,17895,28357,31738,42538,57737,65233,74234,87116,93604,110041,121047,129386,153394,169063,169923,183372,182761,201153,203285,216271
9,552,5100,10478,17896,25774,30786,33372,35860,38557,41744,41605,45008,44615,44121,47893,47575,51163,50987,54765,57758
10,4100,12270,19341,24524,31060,39799,46262,53215,56833,60226,59505,63575,63043,61851,67915,67304,72164,71856,76794,80631
11,3413,12093,18108,24603,31731,39991,45833,52976,56522,59980,59878,63544,63704,63071,67880,67334,72006,71753,76279,80202
12,20336,23659,31771,44379,54796,63244,78218,82067,104020,110615,120350,135562,140530,146903,163893,174453,189499,208794,225584,238000
13,491,5462,12995,19427,25850,30395,35859,42002,48466,52649,52075,55951,59145,62925,62994,67752,67372,67447,67356,71982
14,3962,13864,17133,24547,31574,36890,42673,53885,57051,65484,70112,75410,85352,90230,89994,96379,94878,95026,94333,100582
15,2886,12678,16401,23880,31077,36346,41917,52295,55424,63183,67459,72681,80463,85383,85257,90391,90046,89892,90190,95820
16,19223,23332,39022,51526,66109,76231,94158,99297,114025,132867,144753,154419,160082,168864,175043,184375,203175,215506,229272,240300
17,2540,6582,14039,18928,22996,30080,32791,35342,41384,44554,51513,55861,63452,67651,72149,77243,77285,77327,81405,85784
18,6363,13818,16509,21831,26212,33884,39626,46349,49999,57917,61497,71047,76538,86721,92315,97830,104597,106047,112234,119062
19,5166,10845,15776,21452,25717,33447,39225,45895,49278,56664,60080,68878,73381,82856,87574,92569,98136,98563,104088,109803
20,18839,27247,25303,31962,38690,44826,51937,55172,64651,72492,77709,92151,101225,107350,127813,136817,145601,158681,170060,180538
21,2263,4611,15680,23216,30514,36163,42079,48789,56469,60193,68727,73742,82092,86899,91581,97195,97206,109037,109519,114029
22,7623,11712,17781,25613,32592,38562,44718,48199,55729,63378,68292,77860,83122,88034,99449,106264,111434,115371,121102,126399
23,7545,11763,18084,26991,34545,40320,47139,50421,57929,65335,70428,79249,83726,88632,98821,105357,110106,113547,118111,122982
24,12987,21068,26195,35050,46353,54813,64087,108216,87946,105931,146674,129606,142810,189420,160214,184230,191472,216623,226624,242145
25,3104,7807,17990,26417,31385,36894,43055,43214,57613,57262,53585,65281,69918,65238,78513,78608,88030,88371,93719,93777
26,6268,12034,20124,26074,30475,39113,45818,49093,56939,64752,64720,75397,84850,84807,95212,101163,109050,108563,115053,118917
27,4918,10539,18898,25801,30617,38902,45429,48428,56357,63744,63663,72948,81718,82081,91487,96842,103057,102629,107870,111668
28,16464,17093,25520,34448,44579,52131,60913,70062,80955,87486,99953,106675,112081,119034,136901,145902,155959,172649,183713,192586
29,2755,10186,18030,24171,31544,37218,43549,43695,58510,58401,65971,71426,79936,79413,89407,89048,94819,100639,107302,113217
30,7973,12848,19591,25551,30329,38314,45188,48229,56395,64087,69122,74600,83745,88694,94733,100862,107789,113623,122661,128323
31,5176,11875,18594,25390,30440,38362,45140,48138,55778,62914,67483,72480,80259,85314,90057,95516,101431,106011,114117,118935
32,17277,17261,27962,34523,46136,58393,61748,72348,83132,96790,100647,113676,120699,124334,131756,149816,156581,166670,185752,198148
33,1792,10441,17159,25321,30265,36016,42220,48855,56519,56465,64086,68498,73875,81856,91758,91541,97136,103607,104161,109361
34,6099,12640,19263,25394,32593,38145,44817,51565,55327,63230,68107,77913,82733,93868,99727,106277,112430,116741,121884,127329
35,5944,12861,20182,26608,34253,40044,47095,54067,58414,66271,71076,81021,85267,95157,102428,108473,112740,116899,122032,126122
36,13727,17659,26010,36141,48167,56820,67002,77997,90232,98123,109001,115660,131909,136175,139511,148368,164331,172202,183715,204502
37,2485,10982,17439,23306,28052,32909,38902,42292,48937,52860,60172,64456,68737,77585,82367,87046,92084,104623,105054,110433
38,8112,11732,19841,25565,30364,38617,45311,52422,56136,64191,69144,78933,83516,88908,94584,100499,107272,117224,122805,127852
39,6953,10842,18692,25307,30551,38520,44968,52158,55719,63342,67704,76819,81200,85800,90879,96367,102694,111351,115179,120029
40,9245,19860,30475,36133,39385,46371,53821,62947,72066,77406,95179,103937,119136,131745,149490,168961,174865,196986,206304,218626
41,3323,12083,18406,24519,34317,40125,46935,50508,58304,61967,70451,75962,75713,80031,84738,84898,93765,89876,94654,100717
42,6262,11871,17762,25643,32947,38672,45224,52163,59515,63736,68403,73780,82624,88100,93703,99905,106378,112658,116849,121817
43,4611,10388,17149,25268,32586,38586,44798,51666,58815,62476,67370,72238,80334,85229,90417,95381,101516,106761,109716,113774
44,12435,20944,27141,33385,44057,52118,61399,71592,84524,102122,107101,124683,137806,144698,151655,162871,179375,188699,201180,227273
45,3314,11000,19182,25068,30401,36022,41921,48488,52651,56300,63646,63872,63790,73200,82053,81820,85960,87083,91721,92074
46,8675,12742,19146,25048,32642,38187,44852,51682,55813,63308,68067,78127,82761,88001,93630,99854,106247,112678,117198,122174
47,5727,12537,20052,26530,34199,39856,46762,53692,58006,65125,69441,79071,83710,88582,94217,100097,105944,111732,115351,119446
48,9207,17038,24814,36728,43872,51207,59865,68725,79434,85347,96252,104569,110888,126887,134661,143913,158808,166319,178103,187643
49,2445,10216,16370,24596,29487,34966,40586,47314,55079,58192,66602,66723,71697,75610,84567,89552,89570,95718,102121,101828
50,6013,12769,19254,25172,32317,38102,44516,51832,59151,63133,73274,77666,82675,93815,99841,106836,112414,117206,128026,127108
51,4578,11186,17796,24602,31656,37368,43669,50948,57707,61670,70540,74432,78842,88693,94675,100160,104933,109086,117877,117407
52,13773,20965,27482,37757,44586,56998,66240,70472,81367,95077,104604,110547,118421,122872,140423,148517,163627,172202,183201,193594
53,4089,11217,19510,23800,31641,40120,46858,50057,54023,61666,65673,75743,84034,83965,89067,100144,100020,107339,113015,121712
54,6063,12539,19056,24882,32121,38079,44482,51285,55052,62863,67288,77303,81781,92247,98251,105207,104850,115343,120058,125425
55,4632,11171,18166,24128,31674,37514,44235,50885,54570,62347,66537,75343,79192,88972,94130,101182,100837,108778,113352,118043
56,11987,18127,27275,37879,45671,54057,63357,74118,86254,102467,111714,118553,129105,140049,134687,152436,164125,169675,179213,188528
57,3005,11226,18051,24056,29175,34597,37650,44350,51497,55222,62538,62907,71982,76026,85494,84881,102765,103306,108701,117239
58,8083,13314,20098,24137,31708,37031,43733,50638,58289,62203,67081,76804,86687,92334,98551,104826,110389,121087,126484,132985
59,6339,12878,20578,24940,32248,38112,44726,51835,59292,63443,68054,77487,87607,92753,98472,104693,109867,117999,123121,128138
60,8940,17902,27654,32794,36652,47732,55459,65341,68595,80028,92246,106001,112854,128435,145700,165219,166447,171545,182458,202974
61,2856,10841,17369,25871,31176,36701,43529,50954,58167,61760,66194,67242,75112,75099,79535,79544,89661,95442,102499,108360
62,7069,13251,19703,26277,31255,40208,46744,50692,57920,67001,72402,76863,86584,92231,97781,104871,111043,116108,121084,126115
63,5492,11462,18893,25556,30669,39715,45939,49854,56664,65694,69680,73693,82805,87635,93474,99128,104039,108180,112050,116807
64,10804,20143,25658,35380,46834,54861,64709,76511,90343,98772,113169,121701,133134,140235,157315,168027,127289,157521,168038,178484
65,2815,12414,19161,26257,31747,37388,44302,47746,51506,55213,59212,63217,68017,73132,76808,76458,108341,108451,113349,118182
66,7473,12453,18956,25190,32885,38460,42280,49421,56375,60425,70706,74652,79162,84420,89575,95062,112003,116720,122468,128208
67,6228,11192,17573,24919,32487,38369,41837,48280,55440,59529,69052,72401,76239,81090,86020,91128,105190,109815,113873,119082
68,10357,17136,27718,37833,45660,53112,67081,72275,82765,89827,101399,107157,124730,132003,139969,148086,196463,204490,218259,232184
69,2171,11106,17747,22315,29712,34991,41597,48365,52542,59718,59880,69332,69363,77587,82201,87248,81885,87538,93135,93172
70,7385,15206,20402,24772,32613,38224,44517,52107,55655,64410,69944,78876,83545,89183,94895,101482,107083,111878,115846,121627
71,6525,12894,20049,24870,32954,38764,44895,52801,56060,65098,69591,77810,82799,87642,93219,98619,104078,108538,112190,116695
72,11879,18741,27386,32218,39121,49440,57181,61852,71193,76796,85758,97995,105472,126993,134489,147412,161837,169642,180145,191184
73,1957,10540,15214,26151,31350,37273,43547,51417,59093,63555,71922,76195,80975,80966,91573,98109,91298,91423,103850,107383
74,8179,13301,19922,27018,32270,38014,48161,52178,60143,65068,74380,79443,89813,95955,102944,108470,112937,117982,123056,129729
75,6374,11369,18519,25875,31076,36855,46898,50586,58119,62496,70704,75191,83777,89092,94565,99537,103161,107358,111805,116751
76,11060,21928,29479,32009,42555,50146,59371,69765,74025,88098,95747,103216,111289,115011,137530,148831,155280,173139,184172,196046
77,2282,10923,17837,26559,31920,41215,44565,51978,59321,64299,72483,77109,81388,92616,86932,92442,99176,105164,108901,113254
78,7508,12952,19790,26339,34070,40636,43891,51525,59029,64025,73106,83210,88128,94068,100842,106416,110809,116077,121057,127171
79,5876,10596,18077,24779,32309,39032,41935,49222,56426,60980,69079,77597,82424,87996,93253,98526,102369,106871,110899,115919
80,12596,22390,26270,32265,37290,44002,51381,59397,69254,75048,88525,95287,102107,115828,137699,161948,163390,167343,178674,189793
81,1757,9336,15742,24289,31757,37998,44584,51878,59965,65177,68367,72091,81563,87153,82194,82199,94598,103567,107748,112211
82,7256,13619,20819,27857,32950,39551,46459,53658,62475,67839,75937,81089,86751,92341,99301,105113,115602,120747,126607,131860
83,6319,12554,20225,27676,32925,39394,46355,53454,62196,67119,75175,80629,85779,91138,97414,102415,110306,114590,120332,124844
84,13268,21598,25449,34209,46062,54134,64253,73741,80518,94991,98991,108106,130749,135925,140787,118391,165356,179487,189734,202183
85,1635,8902,16627,23011,27951,36830,43570,50640,54187,58802,63242,70804,67313,75811,80957,97771,86446,92336,102183,106988
86,7038,13341,20123,26888,35352,41657,45698,52769,61306,66729,70526,79798,85280,91435,98550,107481,108058,117038,123322,130089
87,4981,10606,18076,24505,29671,38292,41829,48766,56364,61726,64990,72813,77416,82407,88433,95902,96450,104264,109815,114582
88,13921,23918,25284,35365,42822,50153,58702,67839,73135,85081,87314,102305,111975,118805,131522,175588,149552,187626,199929,215122
89,2443,9075,18612,25320,30827,39502,43414,50594,58566,64209,70797,75474,80416,86402,92848,92607,101432,91211,98139,101697
90,7467,12384,20892,25734,33667,39585,47322,54987,59067,68672,72561,82854,88701,95799,101874,101224,115202,114041,120941,127728
91,5574,10057,18670,22948,30688,36584,43639,50194,54070,62469,65656,74391,79247,84847,89299,89762,101062,100023,105720,110271
92,12980,21331,24764,38018,46477,53634,62515,67723,79019,89966,93123,101263,110372,123124,127155,143485,172576,217031,219164,230590
93,1922,8629,16236,22445,27136,35833,42412,49333,53491,58029,65504,69907,80425,79890,91256,90415,90835,79071,85439,90427
94,6864,14431,19765,26679,35119,38105,48501,52674,62236,66169,75264,80431,86433,98302,102974,106988,111578,110676,116877,123353
95,6136,13322,19197,26223,34109,37232,46905,50759,59498,63161,71491,76452,81097,91757,95806,99237,103695,103645,108815,113042
96,11263,19958,46595,38516,45696,53720,62720,73890,80408,91668,105672,116500,126214,127689,135415,134103,146581,179551,192983,209820
97,1730,8980,11666,20570,25042,32791,39680,46177,49916,54269,61437,61637,65960,75066,86011,93731,94652,85958,89586,88962
98,6199,13275,18488,27337,32829,38981,45969,53894,58505,66607,71016,81994,87870,93117,102197,107035,113696,118698,125354,124270
99,4536,10454,15658,23604,28766,34100,40250,47734,51333,58154,62187,70405,75559,79471,86429,89871,95007,99829,103836,104498
100,16460,22346,31031,38502,42128,72179,57183,67561,76564,82347,123168,112858,128135,148313,161477,152254,159516,190797,223955,243138
101,1826,10016,14254,22375,29601,31884,44913,48353,55569,59319,59614,67540,68124,72143,78356,91233,96338,86664,82980,83330
102,5643,12136,18382,25549,33311,35985,46267,54908,62645,66656,71825,76563,87778,90901,95557,106274,112474,118056,112052,112487
103,3644,9176,15301,21317,28587,31304,40120,47162,53376,56891,60678,65073,74412,76463,79697,88123,91762,96341,91920,91713
104,16841,23053,23713,58041,69829,59670,97236,80381,95403,135679,109047,163452,157222,169368,182354,173316,179082,235976,258933,287821
105,1503,7731,16179,16310,21983,32990,26498,41987,45413,34980,51624,41218,51707,55257,58995,77853,82571,59270,60279,51801
