frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,137,137,137,138,138,138,138,138,138,138,138,138,138,139,139,140,139,139,139,140
1,1942,1942,1940,1943,1940,1941,1941,1941,1942,1943,1943,1944,1945,1945,1944,1944,1944,1944,1944,1945
2,1941,1945,1945,1947,1947,1948,1949,1950,1950,1952,1952,1954,1954,1954,1954,1954,1954,1954,1956,1956
3,1941,1945,1945,1947,1947,1948,1949,1950,1950,1952,1952,1954,1954,1954,1954,1954,1954,1954,1956,1956
4,1941,1945,1945,1947,1947,1948,1949,1950,1950,1952,1952,1954,1954,1954,1954,1954,1954,1954,1956,1956
5,1941,1945,1945,1947,1947,1948,1949,1950,1950,1952,1952,1954,1954,1954,1954,1954,1954,1954,1956,1956
6,1941,1945,1945,1947,1947,1948,1949,1950,1950,1952,1952,1954,1954,1954,1954,1954,1954,1954,1956,1956
7,1941,1945,1945,1947,1947,1948,1949,1950,1950,1952,1952,1954,1954,1954,1954,1954,1954,1954,1956,1956
8,1941,1945,1945,1947,1947,1948,1949,1950,1950,1952,1952,1954,1954,1954,1954,1954,1954,1954,1956,1956
9,1941,1945,1945,1947,1947,1948,1949,1950,1950,1952,1952,1954,1954,1954,1954,1954,1954,1954,1956,1956
10,1941,1945,1945,1947,1947,1948,1949,1950,1950,1952,1952,1954,1954,1954,1954,1954,1954,1954,1956,1981
11,1941,1945,1945,1947,1947,1948,1949,1950,1950,1952,1952,1954,1954,1954,1954,1954,1954,1954,1956,1981
12,2218,2504,2778,2833,3000,3121,3184,3274,3325,3448,3448,3511,3621,3621,3670,3670,3679,3679,3984,4190
13,4215,6581,7682,8625,9599,10223,10735,11656,11955,13092,13159,13732,14262,14263,14779,14779,15490,15755,16510,17070
