frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,24179,27075,30015,45085,49948,54705,64046,70993,76310,83812,92320,102164,104116,112774,126832,129042,141851,143895,159080,160340
1,21177,21177,21389,21177,28486,33723,37732,49419,55835,56163,67755,67550,73423,80239,87134,87620,98594,98594,108150,108150
2,21237,21237,21237,21237,27820,32512,37307,46842,53779,59859,65490,72378,72752,80217,87294,87623,99004,99004,109158,109158
3,21133,21133,21133,21133,27608,32063,36655,45284,51841,57929,64034,70246,71734,79052,86582,86837,98079,98079,107917,107917
4,21216,21216,21216,24289,27625,31934,41503,45401,52092,57540,64543,71126,72255,80042,88141,88141,100136,100136,110093,110093
5,21276,21276,21276,24189,27541,31493,35317,44925,51815,56868,63874,69937,70639,79045,86739,86739,98313,98313,108396,108396
6,21318,21318,21318,24375,27690,35868,40361,45563,51947,57247,64064,70673,70967,79576,87223,87223,99128,99128,109101,109101
7,21288,21288,21288,24457,27695,30917,35315,45354,51845,51845,63966,70556,70814,79413,86972,86972,98817,98817,108619,108619
8,21370,21370,21370,24571,27776,31367,35555,45642,52568,52568,64920,71568,71568,80690,88777,88777,100791,100791,111084,111084
9,21275,21275,21275,21275,27633,30954,35388,45314,51843,51843,64022,64022,70491,70491,87119,87119,99013,99013,108393,108393
10,21510,21510,21510,24497,27818,31127,35629,45251,52017,52017,64395,64395,70629,79495,87274,87274,98635,98635,108918,108918
11,21376,21376,21376,24514,27799,31219,35604,45088,51541,51541,64077,64077,70529,79374,86994,86994,98417,98417,108411,108411
12,21566,21566,21566,24638,27991,31410,36019,45605,52352,52352,64682,64682,71422,80662,88778,88778,100127,100127,110206,110206
13,21364,21364,21364,21364,27806,31199,36016,45209,51837,51837,63641,63641,70305,70305,86614,86614,98174,98174,107932,107932
14,21509,21509,21509,24634,27903,31315,36324,45081,51637,51637,63812,63812,70320,78897,86379,86379,98046,98046,107913,107913
