frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,10559,16945,19427,27303,29607,30807,35627,39972,43812,48748,52099,55738,57544,61191,66023,66700,72106,72713,80646,84235
1,8806,11758,18348,25898,34067,39432,43573,51643,52903,56983,67096,68361,75218,76316,86585,93114,94055,100751,103424,111013
2,8755,10825,16623,22781,27233,34463,39515,45493,51103,55961,60005,66602,67207,83381,84390,91496,92958,99656,108707,109011
3,8543,10194,16147,22513,26197,32251,37345,43369,47997,52666,57617,62866,64733,69580,79727,79885,87375,87999,94751,102565
4,8811,10493,16036,22598,27208,33617,38615,44785,49565,54637,60049,66532,74549,74742,83416,91566,100028,100484,109029,109306
5,8805,10472,14773,20076,26706,33403,37461,41400,48803,50846,59432,60917,67094,67944,83065,83065,91396,92888,100204,109172
6,8778,10429,16006,22339,26528,33476,37256,41673,48671,51574,59004,61091,67027,74833,83242,83469,83823,93503,100493,109310
7,8515,10235,15577,19014,25485,28134,35804,40235,43709,49608,52051,59248,64410,72590,77589,79606,87203,88093,94774,94774
8,8881,10615,16097,22640,29469,33557,37437,44464,49315,55762,60164,67774,75335,75552,83864,92297,92297,101480,110396,110396
9,8880,10577,14867,19842,25623,29968,37256,41056,45705,51238,59130,61441,67644,75425,73913,83634,84822,93353,101102,101285
10,8862,10245,16722,20251,25763,30175,36988,41223,48899,51360,54677,61485,67473,67886,73550,82718,92276,93060,100635,101084
11,8510,10308,14423,21673,24832,31975,35382,39822,43588,49499,56360,59093,64133,71363,68963,78712,80447,87875,93607,95647
12,8825,10589,16864,20399,29287,33768,36713,44802,49619,55729,60049,68369,74569,75937,83595,92407,93397,101363,101363,111113
13,8788,10593,14235,22390,25178,29807,36862,40932,45605,51874,60072,62037,66679,75425,74485,83831,92983,93815,101669,102154
14,8787,10278,16927,19536,25758,30182,36716,40900,49320,51678,54250,61950,67081,68577,74685,83264,84726,93720,101446,102221
15,8577,10256,14351,19504,24512,29203,35479,40080,43859,49590,52756,59278,64415,72655,72230,79004,81226,88810,95194,98856
16,8919,10599,16870,23112,26258,34148,37001,45156,49556,56112,61080,68184,74965,76317,85785,84919,94453,103090,103186,112942
17,8820,10627,14812,19955,26258,30588,36808,40880,45569,51844,55807,61646,67223,75594,75956,84767,86250,93727,102296,103305
18,8943,10371,16170,20510,26009,30725,36975,41317,46203,52000,60787,62165,67085,69289,76370,84620,87265,94307,93985,103612
19,8580,9997,15593,21615,24950,32266,35015,39616,43991,49244,52180,59154,63725,66479,72563,79637,82866,88255,88005,98909
20,8985,10726,16207,20129,29663,33798,37541,45390,50898,56405,61584,68199,75968,77948,86972,85608,95760,95319,103898,113896
21,8942,10407,14269,22456,25413,29731,34916,41244,45970,51578,55877,61865,67677,70764,76663,85265,88172,94948,103616,103616
22,9012,10482,16896,19725,25765,30513,37561,41460,46562,51979,56366,62092,67688,71439,77449,85455,88438,94944,103875,103875
23,8623,10355,14351,19652,24422,29354,35656,39409,44482,49923,53878,59391,63401,68929,73173,80327,82948,89428,88653,98050
24,9017,10523,17021,23339,26587,34737,37884,45979,51553,56719,62813,69034,68738,87925,88205,86885,96840,96756,105838,115770
25,8996,10502,14435,20081,26280,30472,35191,41953,46711,51877,56986,62447,68761,69605,77576,77415,88260,89848,95877,105978
26,9038,10510,17067,20542,26318,30908,37988,41777,46734,51805,57217,62393,68725,70319,77658,77427,88460,90810,96754,105997
27,8739,10140,13716,19736,24672,28925,33272,38924,44128,49429,53746,58430,58507,67212,72529,72762,84339,90874,89011,97519
28,9219,10732,17232,23501,26637,34508,38518,45949,51259,56362,62335,68979,69856,81043,87438,88236,96821,105837,105837,115571
29,9201,10450,14523,19836,24105,30721,37887,41609,46373,51461,56385,61846,69286,70673,78739,87588,87588,96866,96866,105708
30,9186,10447,17230,20722,27289,30620,35465,41642,46706,51691,56651,62066,69327,70840,77502,87392,88354,88074,96436,105682
31,8796,9984,13880,19577,23405,29133,35939,39524,44208,49394,53923,58448,64594,68356,71946,81409,82042,84914,90343,97740
32,9225,10828,17358,23227,27942,34722,38115,45501,51264,56463,62745,69088,69399,81739,88169,87923,97158,97983,107239,116003
33,9211,10495,14532,19975,27118,30497,35676,41905,46355,51652,56718,62134,69520,71188,77925,87370,88961,91015,97953,106344
34,9217,10490,16681,20843,24538,30641,37937,41781,46547,51918,56821,62031,63182,71213,80234,80478,88542,97627,97548,106156
35,8755,9985,13768,19580,25675,29342,33290,39102,43832,48781,53811,57817,65379,67796,71560,73166,81652,86268,91402,97868
36,9192,10735,17035,22995,27090,33926,38191,45227,50615,55704,61722,68240,69325,80682,86195,86684,96072,105630,105630,105048
37,9190,10448,15087,19713,24624,30408,37532,40963,45623,51208,56292,61437,68852,70535,78041,85855,86556,95356,105460,104688
38,9216,10521,16442,20633,27469,30820,35080,41238,46151,51595,56724,61704,68815,70836,79181,86221,87335,96024,105278,105131
39,8713,9951,14367,19419,23207,29146,35724,38672,43603,48605,53624,57235,64139,67725,70740,79937,81023,87802,87802,96554
40,9169,10665,16911,23310,27587,34074,37154,44546,50624,55722,61080,67365,68747,86629,85027,85027,94320,94320,104293,103834
