frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,6125,14224,21200,27540,33098,39736,44820,47896,54236,61297,64805,68818,78109,82103,86538,91437,97617,104069,113111,113111
1,31912,24054,15231,8595,6686,6961,8100,9915,9401,10022,9965,10775,10769,10641,10668,11603,11623,11372,11348,11348
2,1657,11245,29107,28863,23131,21088,25236,26935,27375,27770,26148,29692,26569,26597,25989,29132,28479,27162,26715,26715
3,837,4243,8584,9894,10102,10933,12703,13705,14953,16383,16076,18152,17685,17812,17284,19254,19336,18731,18933,18933
4,24921,48291,64285,76869,95582,113174,128129,139899,172898,170724,169567,181670,183743,184772,184014,198256,197370,195382,197249,197249
5,2242,3684,4747,5871,6396,6848,7951,8582,8663,9245,10851,10791,11950,12845,12809,13927,13995,11030,24116,24116
6,5616,8877,11619,14517,15825,16720,20038,21516,21117,22773,27233,26974,30251,36391,34927,39779,40584,27049,68513,68513
7,3611,6093,7838,10064,10700,11478,13455,14398,14398,15824,19524,19214,21069,23229,23323,25738,25457,19292,44090,44090
8,49878,108113,124036,152411,168244,182551,197876,207281,209430,208175,236482,238191,239042,257831,257384,280453,276465,238604,372650,372650
9,2947,3743,3983,3981,4877,5944,6866,8649,9806,12090,13049,14434,17332,17120,22444,21188,23484,28801,21011,22944
10,17461,21217,23119,22316,28875,36439,41708,50611,57432,64732,69819,73825,87625,87662,93869,94559,99758,111050,108298,112904
11,4003,6214,7711,7595,9045,11813,13961,20987,27250,30014,35114,36042,43921,43546,49951,43795,47321,52893,48494,54713
12,28430,51957,76222,92096,116820,156418,174619,198770,223159,237875,257181,258135,288196,287524,303082,305734,326740,369611,326427,370407
13,4295,5446,6804,9793,12621,12829,14627,15612,18058,18758,21597,25224,27907,36743,36741,42696,39990,38402,50906,47095
14,15140,19085,22105,35515,43379,43683,49595,52958,56260,59807,63622,71874,76163,85063,85280,97218,97855,92063,118742,118953
15,4547,7067,8596,14202,18059,18866,23768,23694,25166,29081,31425,36316,37110,42505,42703,49767,49009,45831,62872,65514
16,23253,41209,64337,131349,186246,190789,202607,216804,225139,225131,236091,253518,266069,279835,279716,317717,318710,295711,389337,385533
17,3886,4643,6947,6761,6462,8442,10266,11484,15389,18250,23702,26169,31550,34854,36349,38115,43132,51641,40698,48214
18,15791,18052,29523,27627,25833,33706,41250,47452,57474,64992,73447,77218,86785,92661,99781,100194,109843,120854,107700,116373
19,4058,6241,9447,9082,8457,11105,14149,17193,24937,29206,34016,37411,45041,47532,52639,53612,57274,66239,56094,58675
20,27064,38590,71844,78719,78503,91498,108169,124483,138352,144070,153683,162185,170454,181316,194540,196146,230515,252063,198140,249388
21,2662,3134,6761,8395,10168,15712,17823,19814,23770,30125,32531,42833,44910,49540,53556,56012,57578,57968,82274,69495
22,13056,14181,33850,44151,49966,66929,75717,81717,96134,103303,109509,121960,128455,133915,146188,144585,167487,166445,147169,178898
23,3735,4656,10519,13360,15886,23103,26602,28396,34153,38576,41912,49526,51119,56697,62059,60517,73495,74584,61534,80802
24,28275,59043,97590,121203,129934,153538,174317,175310,205266,247956,277088,309304,365376,364992,444222,445719,540319,528479,439061,537319
25,2877,3691,4952,6530,8533,10467,11170,15470,15375,14485,14347,14433,11556,14438,10689,12402,9635,11564,21941,15824
26,9987,12263,16105,21690,31000,40204,42802,56716,56569,53793,54685,54844,44604,53464,40057,47076,32322,43741,81924,57941
27,4496,5638,7569,10156,13470,16671,18129,24815,24576,23153,22728,23169,18435,22913,17151,20121,14680,18101,35092,24756
