frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,4750,4750,4750,6360,9946,12505,15847,18981,22451,24372,26238,30640,32976,35437,38193,38193,40743,43955,46892,50446
1,35363,35363,35363,34274,33042,29669,25894,22554,22672,23676,21252,17640,12549,5501,1709,1709,1047,1019,883,855
2,639,3002,10755,13100,30172,29742,29427,29409,30286,28659,29872,28779,26629,28639,25589,25589,26405,22959,24235,21547
3,647,1812,2725,3670,9324,10871,11808,13673,14780,14972,15618,18122,18522,19846,19695,19695,21661,22047,24399,24185
4,29284,29284,46062,48510,56837,62664,69588,77077,85968,90438,94656,102081,106750,111725,109602,109602,111066,119972,125579,130167
5,756,1798,1778,2149,2784,3078,3192,3733,4121,4474,5062,6051,6546,6728,5369,12107,13441,14983,14627,16531
6,2187,5552,5322,7575,9667,11203,13086,13646,14441,16074,17534,21035,21570,21631,17524,29661,31304,36855,38924,42893
7,315,550,565,639,745,858,843,794,824,876,905,1063,1017,1063,1007,1160,1215,1280,1297,1386
8,20430,87109,71628,79988,86636,96243,97200,100079,100973,99397,102330,101967,104596,102826,96771,113394,117281,120153,126184,124708
9,2747,3297,3279,3636,4062,5115,6994,9080,11624,15903,17112,22305,27106,22527,39147,38350,50843,51654,53689,57626
10,4829,5428,5510,6039,6439,8087,11424,20413,22084,27482,29462,37547,45489,37400,52342,58106,65110,70061,73374,72921
11,2960,3060,3488,3827,4245,5621,7969,14364,15974,19783,21352,27787,34199,27744,39612,42759,47975,52196,55403,55622
12,41839,71788,49028,50668,52850,57178,69709,87624,90627,95297,99331,109449,131709,109102,143106,152992,181749,181620,196281,195304
13,333,465,529,676,821,917,918,987,1066,1238,1390,1354,1331,1796,1443,1734,1510,1695,1620,1646
14,2520,3722,4694,9590,11468,17364,19023,22120,24958,30223,38111,39234,36988,53124,42364,48130,44276,50730,49140,54216
15,3797,5891,8524,17514,20682,28483,30453,34673,37459,44658,54592,57142,53143,71624,58889,65815,62641,69691,69314,72801
16,33879,31812,40894,74039,74452,85541,77248,70840,76687,96555,112357,116639,96331,146720,103384,113114,106873,119874,114350,128417
17,1631,2637,4987,3162,5574,7069,13913,27272,33735,26438,26211,34934,42865,31892,68170,74478,81917,91432,88786,98910
18,4717,7217,13761,8397,14698,18785,46025,65683,73309,63818,66625,73807,92011,76725,113482,124610,123785,135572,133361,146803
19,387,483,714,577,771,965,1295,2560,2829,2283,2468,2734,4281,2848,5262,5578,5405,6192,6127,6743
20,33732,32011,53050,31685,45563,51697,88510,129919,141472,121675,117683,128656,159041,134002,203192,200118,198289,232670,225977,273106
21,4396,4656,5540,21919,24742,32397,18927,9327,11719,26046,38683,45880,30366,57434,23469,32711,41915,30112,41243,25211
22,5194,6591,7658,34654,41017,53231,29224,15897,18272,47326,55563,61943,58129,83198,54151,68901,72754,71507,85030,65890
23,3812,4429,5998,22845,32592,37932,24836,13057,15424,40225,47453,53887,50343,72258,46597,60019,63867,63838,76899,59562
24,13774,26583,76143,83743,96333,104899,127223,83707,90969,159552,182643,197463,173781,235558,154518,204489,205951,198153,215171,193131
25,479,521,591,592,586,588,602,989,1074,763,729,757,979,732,1270,1096,1130,1247,1251,1456
26,3628,4114,4926,5300,5260,5319,6052,33066,36318,16421,14835,16040,50730,17854,58691,56994,64465,69101,68736,74795
27,6234,6552,8340,8987,8970,9006,10605,48160,51392,26846,24904,26974,68668,29140,78332,76646,84932,91824,91869,98380
28,11442,37874,53409,55156,51188,48368,50917,133215,138282,79704,75457,77019,155845,70196,192304,167916,189283,210656,207223,208546
29,1958,2488,3009,5524,10509,17089,16513,4764,7470,39027,46977,49880,20728,50411,19555,36798,33910,30285,39049,43703
30,6382,6788,8244,16309,33405,36623,41236,15755,24243,68402,68987,71976,77454,72333,68773,91256,96864,95926,103155,110396
31,565,615,697,921,1161,1240,1265,983,1024,2030,2017,2081,2500,2248,2273,3427,3455,3378,3811,3913
32,49764,41548,44103,66872,92378,90907,93738,57707,68648,139809,138848,149195,156137,149975,140289,169837,188314,182407,185996,206014
33,3045,3744,6514,5430,4970,8368,12331,29579,37781,14860,20720,22265,28374,35967,51422,45667,42167,49889,56577,52155
34,5132,6088,9919,8409,7800,12506,19132,43950,53604,26888,30978,33504,46897,58412,69213,75865,76323,80701,86790,86083
35,3026,3353,6921,5454,4814,8930,14178,34055,42034,20526,24437,27070,38291,49184,60003,66050,65921,71114,76518,76488
36,19053,42201,51824,47543,41860,56140,72885,116154,131505,81839,85833,90932,109203,140391,171396,166174,162740,183968,183192,178473
37,396,535,581,755,915,1026,899,795,828,1357,1431,1495,1405,1203,1088,1300,1417,1323,1544,1747
38,2713,3244,4198,12631,21232,21394,26376,17559,20999,50926,53328,56695,68074,50904,59639,63895,70356,69343,75718,95478
39,4847,5481,8025,24729,35144,37384,42123,30135,34575,70825,74933,78565,92749,72197,85194,91664,97661,97177,104347,125306
40,19389,32398,38549,56064,66315,81992,93258,67558,73587,142847,156537,170451,164311,140924,150913,171010,174272,165729,193079,226811
41,1901,2195,4753,5266,6285,6801,8363,28177,36299,8383,9260,9121,16544,36074,38664,33647,38564,50798,40719,31611
42,5280,6007,14197,15198,19940,23092,30120,61394,72579,34130,40686,43761,60304,79202,84333,89729,96957,106222,105834,95750
43,611,724,1104,1144,1299,1324,1512,2881,3385,1649,2096,2331,2884,4006,4311,4535,4659,5247,5174,4784
44,30932,28282,57244,54227,58184,58614,64297,117486,137725,65910,76193,79910,104543,134749,151101,146163,166222,165367,160833,158659
45,3348,4842,4087,9157,15348,26018,33878,11871,10319,70448,76887,82648,72998,53858,53183,64249,59753,70937,91491,110599
46,5163,7372,6119,14377,25946,45378,53387,22485,22722,71736,78328,83550,106478,87187,86264,103405,102236,111389,143774,165032
47,2725,4754,3677,10233,19077,33801,41287,16791,16748,55864,62779,68652,85130,71232,71212,85556,85638,92751,123984,143447
48,16441,46729,47656,81177,94544,103436,113951,84486,81550,165555,163711,176202,189186,209223,209371,232118,228666,269699,267888,268025
49,396,472,538,539,560,557,715,1144,1504,645,814,809,833,832,981,864,1084,869,1000,870
50,2397,3183,4341,3469,3675,5618,9858,36080,42337,12092,32989,37128,29701,36553,48187,48250,60894,41577,48198,45016
51,4616,5956,8523,6476,7032,11090,18638,51032,57275,21508,46991,52057,43259,52097,65564,65687,82706,57527,65259,61254
52,14028,38961,54088,37201,38256,50808,59554,128107,138371,58236,96691,102501,90972,94382,129976,125466,162414,105721,121333,105276
53,1670,2215,2347,8390,14385,16723,22821,4522,5302,38542,37400,42703,60626,65592,48281,63888,44622,78151,88885,78791
54,5017,6420,6955,27223,32492,44449,53791,18742,24444,58474,79426,92391,85013,91345,107257,116954,95980,106502,116579,106916
55,387,464,441,747,760,824,1182,765,891,1095,2393,2767,2546,2873,3177,3472,2501,3222,3573,3274
56,43776,45136,44864,92614,94423,117250,130275,62603,73553,132180,175748,194148,193415,192389,209255,241763,203318,205769,240686,205994
57,3125,3523,5336,4259,4251,4730,4752,44432,46636,16830,8922,8355,12544,18370,17969,12536,34237,44612,28328,57164
58,4923,5332,8379,6421,6376,6985,6929,52159,61403,38996,22456,22452,34650,51440,53724,41768,83750,97364,77185,106433
59,2721,3402,5635,4037,4096,4513,4472,38409,48010,30021,16368,16118,26257,41340,43270,32768,70448,82730,64941,90909
60,25135,58107,64076,50544,50027,51406,50436,131953,139673,116502,84991,84269,99880,127237,134153,107729,197016,220808,173844,218792
61,415,561,594,785,977,1060,1107,710,848,1040,1681,1876,1952,1763,1777,2591,1151,1102,1919,1562
62,2691,3510,3861,14961,16494,23150,23535,9903,18182,43480,47715,47379,57859,64145,74640,65079,67328,72555,89412,79483
63,5794,6231,8492,29379,32936,41377,41362,21413,33468,68042,72849,72348,86509,94931,106960,94070,99466,106184,125092,113774
64,18305,32138,36206,48083,68622,74873,90079,55659,70894,123226,140290,138964,165801,158481,176867,161510,166322,162478,191155,184479
65,1564,2252,5341,6993,6353,9464,8417,38508,36990,15042,13294,19294,16499,25548,23723,37307,46129,56175,45848,56394
66,6367,7836,23622,24903,21796,33793,33172,67822,82726,66750,61557,72922,69304,84878,85896,94592,100909,128288,116990,128006
67,443,527,911,983,932,1035,1117,1721,2007,1832,1543,2020,1907,2395,2509,2981,3386,4246,3780,4256
68,37854,35154,71698,70368,61133,71926,68356,122867,129922,118145,103928,127625,114669,149110,136184,152594,168480,188982,189851,188831
69,4621,5004,5556,5926,15870,20704,31786,12671,15934,33416,54798,45868,69345,53871,72076,71822,67371,63482,71419,80679
70,5122,7624,8312,8933,25054,33200,51392,19088,29238,52936,75822,65922,102140,73534,108235,105910,105125,105606,125667,125563
71,3080,4937,5480,6011,19431,25638,38816,14359,23135,41394,61028,52251,82567,59039,88240,88144,87510,88165,105125,104410
72,15441,39413,42652,48979,80011,86145,96537,71710,86940,122896,142042,138602,153944,144708,179191,175075,193510,194598,215508,218432
73,403,517,650,937,742,857,919,1315,1441,1145,1144,1306,1290,1657,1440,1631,1663,1703,1614,1785
74,3502,4440,5668,19139,9111,11856,35206,43435,44856,48869,54755,57891,60892,68444,73314,77786,79374,86484,84813,94626
75,7280,9241,11732,33623,18352,23511,55426,65456,66860,73392,81230,85452,89714,98929,104554,112667,113242,120973,120239,131406
76,11842,27436,63902,56734,69592,77898,90380,101303,136074,141141,144971,162962,174240,192903,185276,205924,206001,234302,226241,225522
77,2061,5645,3689,5724,8387,10540,10659,10846,8752,11845,16629,16578,17659,16561,27606,23621,32713,25653,36213,42856
78,7180,15504,10104,14909,22066,28176,32879,35973,27998,40751,59383,58302,67866,64524,75456,67604,97369,71089,110605,118747
79,552,687,697,881,1015,1106,1221,1061,1145,1221,1773,1806,2422,1984,2543,2379,4462,2394,4619,5061
80,37372,80414,52906,71616,86393,93612,97179,100119,78601,98505,134065,131816,139204,136992,161356,134602,192596,140764,211339,235639
81,4605,6386,6389,6454,7444,9921,15088,21094,42082,40362,28934,40030,47249,58319,51027,77975,50848,98834,53938,46171
82,5246,8912,8910,8985,10468,14061,22542,33167,63866,64751,53023,59456,66473,79196,68910,108645,68740,116839,95956,90250
83,3197,4876,5983,5960,7257,10338,17602,25888,47754,50259,42153,47306,52598,62604,56227,87556,56127,94280,79714,73761
84,15781,32216,63585,60198,64013,76906,89262,106913,126699,145478,138705,149260,158348,192881,169864,208690,166810,230860,222304,194539
85,423,483,571,699,850,843,911,902,929,875,1065,1150,1166,1050,1382,1181,1676,1363,1484,1907
86,4064,4752,5480,8003,18887,23135,29328,35767,26198,31461,49873,52509,55650,55270,63650,70884,77241,75615,75743,88659
87,6648,7035,8872,13252,31593,37100,44952,52394,41502,47946,69962,74115,78425,77775,87387,97294,105363,105287,104386,121157
88,16262,32796,40729,55665,66905,76876,88395,112896,86915,89891,129742,139674,138589,133430,166069,164373,192270,183218,180887,209636
89,2552,3266,6637,7268,9595,11100,12932,11054,31963,42097,23689,25979,37738,48795,37766,45137,37177,48074,58334,47641
90,40467,53031,82373,91626,107662,117534,130579,130579,170971,177828,165228,170971,185145,206243,185145,206243,185145,217289,227912,217289
91,419,449,510,512,515,534,550,550,549,566,706,759,796,795,928,987,1097,1011,1060,1172
92,4284,4498,5059,5538,5530,5914,5882,6826,6298,8387,22583,24265,29569,36800,56253,60084,64515,64210,70707,78790
93,6829,7242,7752,9024,8964,9690,9585,11135,10290,13889,36974,39806,46588,54821,75873,79700,85164,85018,93950,101721
94,25810,40461,38052,44211,39056,41374,40075,45825,39200,47757,93298,90239,94326,111907,160854,168550,178679,165490,179481,212736
