frame_index,100Mbps
1,5944.999839075
2,2837.00007129056
3,8034.999624
4,18401.99995135
5,28661.998755225
6,51875.99742951999
7,31246.999436985378
8,26405.000052
9,20457.0001765875
10,29637.00098488
11,67532.00120616624
12,40248.99763712625
13,70697.99973798501
14,43073.00077231038
15,50467.0021218
16,74248.00325180001
17,44216.99960492588
18,54309.00454408999
19,53632.9991339325
20,82839.99944766
21,120428.99721336
22,88423.9970250825
23,68604.00287598
24,111081.00366414251
25,105459.9975493925
26,89850.00229394999
27,93900.999163275
28,109812.9990427575
29,95007.00268218
30,117324.9908726025
31,100795.005148255
32,113583.9962844625
33,82572.997790195
34,92286.99347919025
35,94422.0057078375
36,119775.99198274125
37,83324.998059065
38,116981.9991947775
39,113788.00263331237
40,105062.99964565001
41,104856.00407462925
42,108757.990713232
43,123618.00143734126
44,110404.99609155138
45,117938.99152899589
46,119186.0016079
47,101066.0014513425
48,105923.9880209475
49,104047.00629087248
50,106735.00232703
51,94779.99311002501
52,104078.00141760001
53,115646.9986035075
54,105138.9983868
55,103000.00639653
56,114017.00307477999
57,100959.99639531
58,104888.99878745749
59,107962.0062220575
60,117968.0068413525
61,106071.99589086001
62,118145.0022446775
63,102581.99917405001
64,113590.99819992938
65,96816.0001661175
66,111721.99470934125
67,96575.0059222125
68,99545.9929113905
69,103396.00089878
70,108748.00026847751
71,109536.99948161251
72,104309.005659375
73,98684.004196875
74,97915.00528656
75,106076.99844890875
76,99553.99443825
77,115551.99812368875
78,107229.0026249575
79,95100.00766971998
80,108566.99875728
81,114791.99155316326
82,105235.99969779
83,101913.99752853
84,98594.99982499999
85,95024.00670012
86,101648.0036770975
87,100775.99983146499
88,81839.9984283675
89,82159.99907642862
90,66592.99474602251
91,73323.99923016
92,82490.00097788
93,65001.99943406812
94,71452.9952096125
95,77979.997277715
96,75650.992916466
97,75860.99799375
98,80144.0020567125
99,70427.00226433501
100,68528.00125840625
101,80576.99932291875
102,75754.9957471125
103,73577.0055466275
104,74768.99766422375
105,74496.0030593125
106,71436.999184775
107,73037.997290625
108,73258.997017095
109,78345.0000119205
110,70802.99721748501
111,75929.99437035376
112,75411.00195158024
113,72612.99840128749
114,68075.9965474
115,75879.0044402
116,76402.0033035425
117,73246.9965002775
118,83105.00089425
119,74834.00408774675
120,71823.00176135001
121,72421.99607741875
122,75516.0026109375
123,60565.99745392112
124,70312.9992296875
125,65886.00147216624
126,79481.006742345
127,72397.997337975
128,73681.00235728499
129,83145.9979194
130,74873.002775015
131,77955.99422372125
132,76045.00549742
133,74934.9958855225
134,68093.99601377425
135,74250.00068463999
136,73950.9991319275
137,77718.00231675
138,70120.999640625
139,76604.999535675
140,72508.00124980975
141,69559.99888962999
142,68143.0011342275
143,73599.00113325
144,68411.99925194001
145,63841.9989704
146,77420.00117173
147,72476.00336537101
148,65619.99929265
149,69581.99993846875
150,60365.00398035
151,72132.99864395625
152,66363.00062452
153,71251.00100470301
154,71650.0030724075
155,68819.9995280875
156,59149.999438
157,57111.99953025
158,66223.998094945
159,72229.99837824
160,69775.000609545
161,66645.9972401025
162,76280.000504007
163,72241.0041009775
164,70010.00156173999
165,77457.99877463751
166,83938.003378395
167,52722.00411317599
168,82817.99991032749
169,66727.99532787749
170,75103.001374405
171,79987.997378869
172,48178.00088115225
173,73544.99923443749
174,46083.00419075
175,73053.99693506962
176,75271.00283443701
177,73555.994539407
178,85619.9966699675
179,72750.000382995
180,82814.002976805
181,74802.00081436001
182,65487.002774027256
183,80499.00228915
184,81855.00005735875
185,74671.99799245
186,78833.00048096999
187,61443.9999702375
188,74314.00126854
189,80632.99828472626
190,77383.997170095
191,74979.0010112625
192,76931.00335279875
193,73510.00058967751
194,82173.99722568749
195,73833.9993997175
196,79794.005863275
197,80796.99308250501
198,80299.99628840626
199,79665.003382715
200,78615.00332144501
201,72406.99608418101
202,71944.9954217825
203,76001.00292864375
204,80612.99920906874
205,77576.99736662
206,80627.99893173375
207,68790.003045057
208,81342.99963889999
209,83401.00294244174
210,78202.000225055
211,83234.00290299124
212,77281.00151642
213,78990.99692105874
214,84756.9964784625
215,79345.99940992
216,77450.00619403263
217,83194.9956108425
218,73570.99790688751
219,77119.0005952975
220,84224.99992394251
221,85815.00511947
222,80021.999353595
223,67505.0038341
224,78676.00105794001
225,78621.00070895001
226,80125.99611306
227,90006.00214203
228,94460.00234763575
229,96648.00059765625
230,75258.9969196
231,97475.99423095999
232,89760.99539076751
233,100551.0069150075
234,88334.99390979113
235,69985.99316749901
236,84107.00061249375
237,85506.00168320174
238,79158.000090454
239,71969.99878899375
240,75931.9976757
241,76572.99915342
242,79193.993716832
243,80352.99766348749
244,91433.00113440001
245,60281.9975296
246,82490.9946723475
247,86139.00369027999
248,82212.99828865498
249,57538.00294041251
250,79326.99863659001
251,76578.997479465
252,81559.99992243001
253,74862.00353401
254,76559.9989336125
255,76205.00279576625
256,82164.001415375
257,77579.996595724
258,83938.99951794499
259,88614.99664138198
260,69034.001938292
261,79723.00411874999
262,79295.00549128
263,76829.9988867725
264,84182.00388207499
265,56808.00030752
266,73039.99541751675
267,69371.99681249249
268,76541.00107311
269,76166.00255859375
270,75395.002204624
271,77708.002330875
272,76318.99942171125
273,74875.00206811025
274,80259.005080345
275,67464.0041677275
