frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,12939,33220,50998,68143,83608,102346,116615,125070,141875,161614,171017,181657,207674,218603,230733,243459,258395,276017,295759,295759
1,899,2843,3846,4056,4274,4620,4969,5348,5762,6124,6187,6720,6724,7224,7251,7797,7870,7773,7762,8441
2,70484,69548,52494,35640,21682,17461,16577,16425,16051,15944,15923,17074,16977,18240,18197,19685,19778,19767,19538,21203
3,1148,3665,9104,15206,15462,14354,14582,14271,14246,13656,13586,14869,15093,16270,16190,17634,17445,17840,17661,19152
4,37158,125787,167082,195424,227970,241481,230469,225322,212895,197830,190106,202843,181745,174169,168790,177378,172920,168412,162668,176667
5,1203,3331,5002,5357,5810,5752,7373,8494,9799,11297,12250,13396,15621,17080,16956,18567,32824,32310,32695,31880
6,4343,7753,10640,11299,12192,12266,15295,18160,21275,24911,27535,29810,36104,39260,38850,42253,69688,68600,68450,75428
7,3602,6990,8839,10543,11508,11419,13943,16565,19551,23177,25094,26952,31789,33785,33895,36053,52956,53324,53010,57197
8,26723,63446,96393,117231,121800,117498,143353,164713,176879,191351,209228,222602,241170,251929,250189,244031,323173,320126,318712,315561
9,3278,5716,6132,6740,8450,13461,16664,18057,19213,20679,22179,23749,26012,28096,30295,32510,32809,35956,39109,41212
10,8113,11736,12529,13668,16969,27202,34364,37043,39169,41986,45157,48759,54189,57178,61787,67497,67349,73330,79868,88205
11,7277,10806,10731,12808,15806,25016,31194,33913,36414,39485,41871,46368,50023,52920,58209,62719,62330,66334,71927,77953
12,37788,39177,55881,76161,112107,148334,178579,175987,193624,198457,196855,211666,231393,228432,244237,265884,261298,260022,277204,305552
13,3132,6077,6516,10396,15290,16542,17655,22303,23846,28022,32517,35276,38586,45270,45489,47777,56944,62897,62946,62334
14,6734,11374,11739,18755,27498,29096,31136,39711,42720,50751,59117,70388,76778,84251,84087,90098,100677,108378,107406,107290
15,5539,9680,10673,16993,24818,26354,28348,35701,38482,45623,52137,60069,64702,71213,71557,76292,82954,87965,88127,89094
16,30599,44051,67221,104544,127850,159835,166445,191379,189366,223907,240102,258380,276670,303479,299983,298116,378704,376557,376719,376121
17,3579,5601,7840,13531,15508,15316,19121,20564,26096,26127,28512,30569,32864,36190,39359,45922,35827,42173,45712,53337
18,8585,11500,15422,26615,30828,30436,38866,41603,53896,53611,56995,60942,65477,71026,77455,92414,70500,84819,91792,102574
19,5324,7702,10757,18583,22487,21959,28162,30109,39553,39761,42135,45477,48774,53219,58428,68230,53328,63085,68197,75482
20,23385,34568,58300,75409,91412,105122,124019,128621,148033,146335,144595,154425,164884,163837,175744,190500,160548,186805,187914,243063
21,4220,5223,13578,20565,23923,28261,32893,40135,42176,49539,59693,70295,74509,79502,84531,89737,96555,110080,109568,101469
22,9996,11152,29327,43320,50558,58940,66551,78883,85284,96495,108192,114738,120149,120668,127099,135154,120423,135587,136140,162653
23,7644,9090,23411,34897,40961,47774,53978,62875,68204,77141,84361,90559,93510,94544,99989,107204,95603,105716,106667,128993
24,23187,35556,63336,78394,108500,136184,155653,174644,211163,226290,245675,288524,336683,368442,365685,415155,363951,416651,413861,469696
25,3521,4303,11593,16122,18737,18658,21850,25806,23501,27870,30712,25410,23548,23698,27648,25320,38766,35860,42007,35827
26,8983,9998,26863,37361,42468,41581,49190,56645,51954,60148,64800,55207,51810,51565,59299,54953,82097,76463,87447,76162
27,7250,8099,21690,30549,35348,35181,41415,47428,43932,50442,54295,46895,43861,43786,50239,46819,67717,63149,72311,62996
28,18789,46388,77436,97337,131078,165137,195544,206491,193435,215797,215213,199620,185904,186825,211454,198359,243549,243854,284613,242686
29,3576,5779,10758,13463,14612,13551,14854,18591,25247,27685,36135,45676,55354,60109,62822,67139,66283,70008,65883,80213
30,8858,12293,23453,29430,31512,28708,31208,39343,53391,57664,74644,91407,96263,95991,110503,103456,124423,125270,124930,125145
31,6743,9568,18047,22642,24631,22611,24224,30351,41172,43239,54593,64499,68588,67832,76282,71525,85471,86086,85147,85626
32,20761,45873,68632,100214,125067,131305,130105,146032,180993,193706,225883,287095,287538,285575,342102,312614,383734,383580,385210,386538
33,3409,6439,10481,13308,14572,18712,23645,27693,27367,33382,33175,25408,29929,35368,30314,41357,34975,38030,44503,48276
34,8836,14306,23003,28946,31227,39454,51733,59711,58829,70151,69900,53656,62915,75805,62403,85611,74520,80967,90504,95865
35,6869,11830,19020,23591,25548,32037,40454,46207,46170,53569,53717,43651,49507,59426,50223,66519,58642,61869,70307,73110
36,23190,45443,62750,91529,118380,146717,171628,195462,193831,209908,207730,177146,191096,225069,188531,264057,222305,221944,283974,284860
37,4264,9156,15629,18082,18003,19180,20989,22367,30395,32855,41301,52275,58125,57084,69138,56913,72387,77245,72297,77195
38,9106,17700,31241,35831,35144,37863,40752,44447,59925,64475,81437,98382,104601,103536,110733,110036,125934,125060,141943,151722
39,7662,15506,26230,30267,30418,32555,34822,37938,49891,53205,66062,75943,80579,80903,85149,85068,94902,95820,107139,114848
40,19349,35332,54438,70859,102297,120813,135585,145070,180203,178370,209387,272637,299932,297414,329280,324141,368723,367511,416868,419457
41,4533,11363,14943,21933,23070,26872,31020,36761,36204,45036,44297,33447,32964,41332,38830,47684,44494,47542,43742,51710
42,9401,20514,29604,44034,45802,53168,61199,72184,70870,88523,86967,64589,63895,82707,76629,90676,85968,90775,86492,96584
43,7887,15396,24347,35860,38417,44167,50677,59777,60509,73534,72396,54795,54463,69067,64629,76328,72479,75823,73341,81100
44,17117,33135,50552,61289,88039,103638,129710,162124,184801,199389,233974,167482,166656,194912,195060,249204,229193,246829,227483,246669
45,4492,11873,17422,23776,29291,34417,33691,33406,36419,41712,38585,68623,72462,75107,74645,69854,80182,79992,90708,96654
46,9725,20857,32563,45056,59523,67712,66350,64989,71092,82918,77290,112740,112977,127600,127853,126596,141278,153506,141655,151117
47,8492,17560,25090,33958,45207,55116,54967,55249,59867,68318,64291,88469,87602,99189,99724,99620,110650,119983,111022,117573
48,19346,38479,54427,72742,96438,118298,141615,171651,198267,212559,210230,265841,291430,316752,359892,358132,403685,404605,406595,402747
49,5184,12176,17669,23317,24866,31046,35505,34968,35373,41778,50926,44536,44321,44546,41541,47418,41844,50682,54348,64399
50,10122,19123,30576,44390,46177,57455,65184,64479,63861,74471,91263,81000,80557,81284,74378,86975,73931,90955,95743,107646
51,8884,16790,26430,34888,40561,50166,56435,55888,56648,64907,78262,70135,70187,69395,64835,74096,64681,77657,81503,90760
52,15394,33499,52541,69665,87000,104435,128441,150951,183506,195046,244164,209860,208883,208475,192323,208508,190188,239498,257787,281837
53,5004,12801,16603,20591,27499,31380,38874,41517,41638,47056,41651,58903,68628,75557,80245,85534,96323,88851,88404,89040
54,11039,20577,31640,39200,52581,59584,72053,77360,76467,88543,75877,104153,116993,131620,124554,131545,124463,144395,155459,166915
55,8347,16144,24375,33624,45169,51140,62522,66432,66414,76259,66214,87485,98329,110498,103131,109436,104367,122134,131036,139099
56,17468,34909,52244,73675,90893,109998,123926,147310,175909,198798,198062,264595,291071,313253,311095,351523,314811,392822,393440,439153
57,5495,12801,16733,21939,27065,31243,38433,45383,44559,47895,54820,47541,47862,47619,58612,54276,73046,54295,63350,57949
58,10479,18547,30904,41000,49121,57111,68927,79028,77961,84637,94956,83679,83989,83516,98673,93797,116978,93715,104263,98143
59,8317,15227,22441,33498,41519,48289,56702,66307,65701,71012,79268,71283,70242,70815,81743,79431,96857,78050,86793,82335
60,15788,34239,50512,65138,78395,103803,118512,135522,169402,179453,206774,204086,202518,202276,253475,234073,303635,233638,250955,250349
61,4908,11786,16540,20513,26957,33224,38710,44545,44399,50797,51009,58842,68377,76796,67999,81412,68361,91373,96526,104697
62,10016,18620,31554,38725,51809,62491,71581,83016,81463,90961,90359,100532,114110,128975,112789,141558,112257,142962,152509,152162
63,7708,14864,22058,30444,41229,50780,58026,67848,66562,74792,74751,83233,91646,103383,93502,114508,92513,115081,123288,123289
64,19126,33590,50226,64893,85643,96256,123714,147580,177305,188844,236213,253276,275688,299210,297700,334431,296707,373338,374444,372660
65,4711,13065,17200,24456,28039,34514,36933,40121,39795,45181,39673,41546,42380,45132,51810,48273,64564,51976,60816,64823
66,10888,20715,34922,45699,56525,68316,71236,76326,74759,86562,74060,79940,80112,85326,94504,90248,111544,94390,106182,111414
67,7773,16523,24433,33145,40612,55238,58729,63622,63474,72464,63222,67912,68276,71838,79238,76191,94564,78883,88891,94363
68,19195,36088,53398,68634,89266,101366,124963,147387,176479,202613,184235,197661,197757,196403,246554,228215,296086,245509,268317,292780
69,4595,11882,16931,22957,26339,32861,38166,43752,43443,43501,57427,62561,70255,74148,70730,78931,69698,88309,88515,87970
70,11338,21333,32223,46626,52014,63766,72044,83897,81890,81512,102112,108847,123213,131485,123318,145219,121593,155182,166625,165656
71,7975,15471,23139,30999,42527,51337,58637,68282,67860,67577,82587,87049,95986,100449,96500,113998,95505,120523,129926,129614
72,18162,33421,49575,64243,83946,94894,119643,133947,160965,197117,228140,244301,265607,290857,286144,320415,285567,366296,409621,407855
73,5398,13808,19641,28013,31440,38805,45233,50925,54404,50767,49755,53283,53755,58129,66887,62118,79121,67641,57981,67381
74,11405,21158,32116,41927,55188,67744,75734,87401,97003,90683,90224,94839,95433,100478,110548,104860,131448,111815,99317,111054
75,8633,16286,26655,35834,43448,52779,64999,74758,81576,78541,78664,82830,83194,86223,96229,90878,110292,95896,86486,95328
76,15960,30740,45464,63605,74721,88539,97628,111623,129663,151528,169687,194845,193617,209090,225431,207081,279109,225959,205476,225108
77,5722,14647,20529,24994,33260,40548,47786,53097,60386,74222,77469,74555,80750,86193,89413,103400,82642,104459,104997,126194
78,10959,22632,34056,44620,58667,70469,79179,90540,105809,115950,128064,122094,135139,151685,162190,161116,150456,171588,160485,172566
79,7169,15904,24086,31502,41412,51401,62587,72381,79083,87769,97146,97555,108922,122655,132103,129107,122389,138027,130240,137389
80,15393,30983,45687,63585,75290,88932,107735,122018,132374,154305,163101,197168,211100,229343,248663,280535,312168,310338,311569,354747
81,5461,14254,19712,25883,31897,39310,46453,50161,57251,69329,74600,73964,77593,80802,80541,76393,76812,80298,85092,81575
82,10580,21421,32252,42051,54630,66127,75320,92380,101238,111520,124186,125672,132796,143514,144849,130703,131819,143485,152907,144806
83,8309,16018,25985,34306,46089,51854,63168,71978,79635,86696,95960,103140,107698,120049,119018,107425,107202,119204,127142,120786
84,17869,37485,58135,74513,88596,111074,123366,139902,160665,177293,199375,222245,241828,254530,278595,308824,309403,341368,344682,347216
85,5981,12461,17396,23200,28296,32416,37091,42276,48128,54402,58141,67138,67298,74658,74860,71849,74244,74579,77586,82115
86,11376,19471,28935,40491,53195,60132,67166,75624,86488,96232,100551,113971,113465,125819,126142,117382,125716,125625,131557,146297
87,7478,15383,23219,32636,39209,50089,56330,63877,72793,80909,84239,94296,93495,102610,103189,98387,103711,103169,109634,122158
88,19954,39347,61266,80065,100783,119428,149879,161447,187639,208303,229887,258022,272810,297204,326732,327301,320154,320698,348348,391422
89,5106,10510,15128,18522,22934,28240,30168,37005,39096,46027,51747,51478,54434,54962,55012,58399,72099,75881,75033,72332
90,11292,19601,29499,35692,43554,52557,56514,67729,71836,82012,93811,93784,98280,98449,98754,104625,121250,128288,128075,121819
91,7652,15969,22013,28881,35666,43680,47109,57233,60616,68965,78784,79246,82742,82549,82593,85995,99740,105727,106280,100872
92,22650,43887,62804,85838,109933,131319,146785,170342,194364,225425,236873,245363,280490,270769,281605,296075,340182,339825,338836,342077
93,4426,11020,14292,18856,23069,26498,35297,40314,40680,43141,50786,57424,53921,65609,70452,75766,69323,79861,84497,88474
