frame_index,5Mbps,10Mbps,15Mbps,20Mbps,25Mbps,30Mbps,35Mbps,40Mbps,45Mbps,50Mbps,55Mbps,60Mbps,65Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,100Mbps
0,14180,31431,48490,63735,76941,90977,101204,111160,123191,137222,146453,156810,169026,176607,187782,196500,207185,217398,230551,230551
1,303,382,483,527,530,554,570,586,572,600,651,649,678,694,693,694,720,722,715,715
2,2979,4681,7184,9145,10913,11645,12960,14022,14030,14951,16425,16666,18223,20041,19912,19591,21807,21671,21452,21452
3,349,498,572,623,617,653,665,678,691,687,713,710,681,754,733,753,811,804,806,806
4,41757,83130,95337,92121,90898,88965,85606,81998,78899,75507,76931,75102,72974,76522,73403,71552,71862,70468,68976,68976
5,478,528,421,432,515,488,526,517,533,568,524,523,545,557,556,575,558,569,571,571
6,5692,9400,7668,9104,9911,10873,12092,12183,12134,11996,13240,13292,14359,15792,16017,15837,16100,16157,16080,16080
7,576,649,660,663,747,750,887,783,823,879,856,788,854,895,883,913,894,948,925,925
8,88415,96255,90551,93808,96443,99343,98366,97157,94884,93799,96178,94976,98410,97388,95498,94746,94151,92951,92594,92594
9,429,555,540,599,635,626,639,649,692,679,703,671,772,774,707,796,781,802,844,844
10,7622,16543,13694,17934,19231,23189,23597,25518,25411,25335,27487,27523,29789,29827,29735,33031,33204,33140,33081,33081
11,461,769,721,842,865,933,899,868,877,881,1080,900,1124,1127,970,1016,1051,1043,1028,1028
12,94174,78599,73248,81888,85844,89859,90425,94251,92995,93329,93222,92058,96974,97359,97376,101519,101563,101527,102234,102234
13,435,827,825,928,1020,1080,1043,1161,1216,1219,1213,1240,1279,1253,1244,1365,1343,1396,1359,1359
14,8392,27536,25975,35794,38454,43933,45122,52829,53222,53175,56855,58147,60432,61984,60337,62997,64061,64237,62831,62831
15,596,1117,1072,1283,1310,1421,1388,1451,1479,1438,1397,1504,1430,1632,1414,1429,1495,1491,1517,1517
16,56987,90515,87025,100321,100083,109279,109260,115096,115632,114672,121772,121777,121832,121453,121265,134679,134199,135875,134322,134322
17,548,826,1014,1075,1134,1314,1299,1301,1326,1367,1287,1305,1409,1340,1386,1410,1322,1442,1427,1427
18,10788,27023,39140,54666,61357,67948,67271,75808,75719,76290,80487,80711,85182,84142,85616,92193,92376,92575,91849,91849
19,625,1018,1120,1589,1905,2279,2332,2486,2467,2463,2534,2661,2948,2950,2950,3435,3390,3555,3330,3330
20,55996,78590,98283,110934,122850,130470,129230,149447,148229,149925,147622,150958,163251,162727,163072,170454,172293,171362,169248,169248
21,623,950,990,1144,1318,1590,1559,1650,1652,1772,1793,1834,1951,1916,1898,1875,1984,1982,1954,1954
22,11597,30496,45630,64170,79744,97314,97568,113745,112554,113295,112684,112943,122888,122037,122321,131956,134835,132965,133370,133370
23,864,1116,1536,2001,2282,2673,3297,3290,3732,3526,3575,3445,3804,3869,3652,4209,3860,3837,3979,3979
24,53015,100040,121550,149324,179371,212241,210884,253000,248966,253189,248496,251838,247480,248952,243126,268610,273091,272233,267899,267899
25,650,859,996,1159,1246,1359,1336,1513,1633,1702,1586,1750,2000,1911,1799,1983,1990,2014,1992,1992
26,11185,25571,41332,63339,83470,102143,121267,132122,160797,162125,160725,160704,162397,161831,159509,176886,183323,181469,183065,183065
27,834,1150,1255,1504,1619,2228,2305,2475,2687,4061,3955,3947,3786,3866,3921,3862,3934,3872,4030,4030
28,74884,106605,128156,153180,178998,204414,248440,243070,303788,307421,303577,305360,306115,310612,302088,352260,362920,358653,358978,358978
29,497,673,1336,1322,1746,2269,2307,2444,2751,2774,3391,3401,3767,4388,4396,5460,5319,5287,5495,5495
30,8490,18595,58234,59646,82784,111501,119914,135297,147492,167131,196488,197093,196873,198458,198710,229764,230698,231389,230232,230232
31,754,1120,1297,2123,2575,2798,3229,3629,4904,3928,4478,6558,6284,6221,5776,6515,6486,6700,6763,6763
32,68753,81034,113747,137627,168971,179697,212386,235411,263031,259137,317433,372962,372889,374326,375614,367041,369885,370572,366484,366484
33,427,568,880,852,1227,1403,1494,1673,1942,2293,2115,2452,3343,3353,5933,5790,11031,11043,11397,11397
34,8531,22016,53852,55631,80506,110385,119322,151301,167239,200664,198482,194573,231007,232314,291231,291487,290946,291242,291849,291849
35,621,1001,1094,1912,2682,3063,4262,3628,3782,3882,4968,6546,4967,7134,4822,4825,8265,8170,8568,8568
36,51725,68865,82782,106328,130724,139733,166565,185597,211169,212350,253303,300277,302182,302351,301344,299680,380980,380473,391461,391461
37,574,880,1161,1318,1678,2131,2469,2815,3086,4381,3828,4388,4513,6386,6666,13715,10705,11149,11182,11182
38,7794,32650,59723,76511,107602,128515,161804,180437,208610,210219,246344,303665,307091,307116,307473,305008,369927,370803,370541,370541
39,601,871,1276,1707,2171,2752,3235,3242,3681,3616,3930,4142,4192,4933,4809,4895,5871,6061,5964,5964
40,41829,73412,93319,98442,131444,154828,190690,211305,237418,242474,284839,336967,336884,339135,340303,338350,426949,428285,427964,427964
41,607,839,1041,942,1454,1667,2051,2305,3348,3419,3674,3468,3437,5850,5009,13493,7380,8699,7557,7557
42,9195,31339,64417,77989,114824,142987,184373,202743,234998,235272,272653,331595,331976,338030,333451,337540,406553,408019,406731,406731
43,822,1106,1340,2004,2836,4659,6096,5695,7149,7071,6861,5908,5849,7343,7551,12491,7786,7614,23054,23054
44,47219,76455,92688,106407,148848,167465,210935,225833,258102,256367,298481,357832,357312,355910,357919,437304,456864,458759,601807,601807
45,543,739,961,1087,1216,1363,1718,1622,1946,2043,2156,2368,2456,3727,9951,6445,6973,6792,7920,7920
46,9403,28699,58231,78174,118051,149494,182795,206705,235882,237950,266138,329690,329861,332659,328300,395339,387280,387081,517481,517481
47,665,975,1047,1230,1651,2444,2883,2817,3468,3490,3695,3699,3543,4472,4333,6557,6420,6274,9804,9804
48,43256,101953,113793,128258,167571,205864,239196,264137,296142,298554,340500,396278,401543,404601,402240,466905,421891,421297,578418,578418
